trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.4863199329944,"{0: 12, 1: 2, 2: 5, 3: 4, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-133.09260331175403,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-147.8005513404841,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-47.19837463883563,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-158.0099579351848,"{0: 21, 1: 1, 2: 2, 3: 4, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-145.50285397239696,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,4,-70.35927468371344,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-158.108140774187,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-28.139576159839486,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-68.67480751090767,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-49.514983859525884,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-122.60898181896336,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-103.81597261312504,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-90.55635398105083,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-49.3877313972357,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-98.94279993922976,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-38.11304655888248,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,7,-66.22456345969138,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.835270211411272}",30,0,-88.03109447519037,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-62.37288145656812,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,0,-203.18607687011755,"{0: 17, 1: 4, 2: 3, 3: 3, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8105842459701871}",30,8,-52.46557180262451,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-29.286057587633675,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-116.92047393146956,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,9,-9.559788179598804,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-87.81142277276173,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-27.485290703744237,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-50.41571351686809,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-7.309726869453424,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,4,-42.48019548736064,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,1,-37.211510037896765,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,7,-88.05025809565304,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,0,-106.8903295318753,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7189237334319262}",30,16,10.547762126227859,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,0,-45.73417086651637,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,0,-3.1658877498816067,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.697676326071031}",25,0,-80.4340551189438,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.6907343306373547}",30,7,-119.95541777237926,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-14.642880011911386,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,0,-57.20491114813824,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-28.704773151163362,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-51.07649068946652,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,13,3.514223494551427,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,0,-78.00691418082165,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-120.37771696933049,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,0,-137.38457804289925,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.631283645506926}",35,21,-32.59691765574991,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
