trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-182.71837732405908,"{0: 23, 1: 4, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-113.89036165223497,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-104.7027567964899,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-118.6996796456111,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-88.66380019633263,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-54.645421351022144,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",35,0,-141.89631472363627,"{0: 21, 1: 2, 2: 9, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-58.22533624559622,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-126.60581623033498,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,2,-257.9875194106224,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 4}",1
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-112.84175297467087,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-171.19478343565675,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-18.688660362407024,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-70.53516114316699,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
