trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.1834990291122,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.46976468883183,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.79797873441878,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.08664509978095,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.25339304383569,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,7,-17.42578379598253,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.52803045284358,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-259.8817951283567,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.09300608105485,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.06745582499875,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.44362116847932,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,2,-16.250361655429472,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.25701354394326,"{0: 16, 1: 5, 2: 5, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.22197318889431,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.5501087424062,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.48938460422443,"{0: 19, 1: 0, 2: 6, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.99713352353069,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,14,-57.19464600263787,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.0727622793766,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-217.8046368826613,"{0: 18, 1: 4, 2: 8, 3: 3, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.61750159203548,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-29.423787974437257,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-195.15609837676388,"{0: 14, 1: 1, 2: 4, 3: 4, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-190.55052481636096,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.0782676271423,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-151.49380573897326,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.1650911463535,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-212.92485145131718,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,7,-164.82958380586987,"{0: 8, 1: 3, 2: 2, 3: 3, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.23594564121194,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
